 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000143080,0.048045303,0.016830723,0.010823995,35.507389276,0.778911706,0.018734595,0.016751503,0.030801150,33.231711068,0.011547581,1.554945608,0.643109312,0.928030303
2,0.000310981,0.071079925,0.026055717,0.015196405,67.956814384,0.773481098,0.027104874,0.024857068,0.045931540,66.501434324,0.016180177,1.714597432,0.583227282,0.940812721
3,0.000196225,0.057346819,0.019803596,0.012615936,140.401112019,0.749798586,0.021136730,0.016751503,0.012428534,147.528807709,0.012941965,1.569728587,0.637052806,0.894211577
4,0.000002044,0.005218284,0.002244481,0.001159515,81.650377883,0.943271148,0.002416613,0.025937811,0.031881892,63.434948823,0.001080742,1.935705942,0.516607393,0.933333333
5,0.000211117,0.075796241,0.030946650,0.008685982,153.754902173,0.461781973,0.033646506,0.023235955,0.016211132,150.140983835,0.010089597,3.562826818,0.280676006,0.848591549
6,0.000229221,0.158380299,0.077394635,0.003770970,168.234036267,0.114831584,0.073557979,0.016211132,0.016751503,167.699461121,0.004963765,20.523800417,0.048723920,0.717550274
7,0.000163228,0.051102103,0.016532499,0.012570935,109.307137031,0.785467609,0.018796836,0.022695584,0.016211132,108.434948823,0.013985908,1.315136752,0.760377199,0.920922570
8,0.000425445,0.086124190,0.030964646,0.017493943,126.285332720,0.720780893,0.031508776,0.011888163,0.019993729,112.166345822,0.017750618,1.770021018,0.564965043,0.914052698
9,0.000143372,0.075434707,0.032390601,0.005635815,178.864714292,0.316616169,0.034150425,0.010267050,0.020534100,175.462227492,0.006960771,5.747278526,0.173995395,0.796431468
10,0.000107456,0.060982394,0.028441737,0.004810453,123.267546822,0.363105560,0.028026458,0.011347792,0.010807421,123.996459148,0.005428467,5.912486061,0.169133591,0.862837046
