 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000188925,0.070577957,0.029243218,0.008225710,24.259929732,0.476606691,0.029562791,0.013509276,0.020534100,18.103763035,0.009379592,3.555099557,0.281286075,0.864395458
2,0.000094316,0.080915224,0.033368006,0.003598873,13.143899547,0.181023959,0.037352111,0.023235955,0.025397439,14.237280466,0.004974169,9.271792487,0.107854010,0.680000000
3,0.000576994,0.161156231,0.053886850,0.013633219,130.698484545,0.279181574,0.067641420,0.024316697,0.028639666,135.971021931,0.018285331,3.952613871,0.252997139,0.676364881
4,0.000009344,0.019213622,0.008455537,0.001407029,14.080394477,0.318072057,0.009058269,0.028099295,0.014590018,17.354024636,0.001888025,6.009497502,0.166403264,0.735632184
5,0.000063656,0.045119618,0.020964396,0.003866058,63.542994843,0.392934060,0.020110227,0.017832245,0.025397439,59.300277449,0.004363344,5.422679383,0.184410681,0.824196597
6,0.000124392,0.093264223,0.047297936,0.003348588,38.104672476,0.179710505,0.043886647,0.010807421,0.041068200,37.998732443,0.004257697,14.124741454,0.070797756,0.733218589
7,0.000181625,0.054082097,0.017865840,0.012943783,68.116453764,0.780328291,0.019580530,0.017832245,0.028099295,50.599339337,0.013988122,1.380264258,0.724498946,0.923533779
8,0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,0.056198590,0.038366345,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
9,0.000056356,0.068755511,0.030349364,0.002364297,37.258154848,0.149808448,0.032856160,0.029180037,0.058900445,36.304497123,0.003352255,12.836528682,0.077902681,0.698010850
10,0.000000584,0.002292600,0.001219487,0.000609743,0.000000000,1.000000000,0.001208306,0.027018553,0.058900445,153.434948823,0.000540371,2.000000000,0.500000000,1.000000000
11,0.000228929,0.066494724,0.023422800,0.012444330,118.267739271,0.650632419,0.026161996,0.010267050,0.016211132,128.290163192,0.013945559,1.882206500,0.531291333,0.888888889
12,0.000002044,0.004585200,0.001667838,0.001560409,90.000000000,1.000000000,0.001948336,0.000000000,0.017832245,123.690067526,0.001621113,1.068846685,0.935587877,0.875000000
13,0.000011096,0.016550170,0.006032233,0.002342069,146.180916600,0.509064389,0.007507075,0.049714137,0.043229684,149.743562836,0.003056800,2.575599755,0.388259083,0.752475248
14,0.000129356,0.075687621,0.036354618,0.004530419,34.468439065,0.283757946,0.034928207,0.021614842,0.029720408,34.919402012,0.005287252,8.024558948,0.124617441,0.818097876
15,0.000689414,0.141897618,0.051902680,0.016912214,71.257572818,0.430268741,0.056416394,0.066465640,0.071869350,73.300755766,0.020031284,3.068946472,0.325844719,0.887593985
16,0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,0.073490463,0.071328979,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
17,0.000453185,0.110904453,0.041518561,0.013897724,19.678433704,0.463007225,0.044507684,0.023776326,0.032962634,29.054604099,0.017070748,2.987435883,0.334735218,0.852278968
18,0.000000584,0.002609142,0.001219487,0.000609743,90.000000000,1.000000000,0.001208306,0.019453358,0.027018553,116.565051177,0.000540371,2.000000000,0.500000000,1.000000000
19,0.000000876,0.003821000,0.001736011,0.000642485,151.845033763,0.753982237,0.001948336,0.028099295,0.014590018,146.309932474,0.000967193,2.702025165,0.370092778,0.666666667
20,0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,0.030801150,0.016751503,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
21,0.000001168,0.003821000,0.001738045,0.000855644,148.282525589,1.000000000,0.001948336,0.034043376,0.019453358,146.309932474,0.001080742,2.031270315,0.492302769,0.800000000
22,0.000001168,0.003821000,0.001738045,0.000855644,148.282525589,1.000000000,0.001948336,0.037825974,0.022155213,146.309932474,0.001080742,2.031270315,0.492302769,0.800000000
23,0.000106580,0.106952336,0.027648898,0.004908054,152.508441560,0.117086367,0.045191306,0.016751503,0.010807421,138.878524503,0.009362995,5.633373144,0.177513538,0.309715740
24,0.000077964,0.098283904,0.027586223,0.003598432,99.838697126,0.101423942,0.044419026,0.051335250,0.041068200,99.806092760,0.006765239,7.666178922,0.130443081,0.362771739
25,0.000003504,0.007194343,0.003088042,0.001444749,128.425566152,0.850732496,0.003460063,0.079434545,0.051335250,128.659808254,0.001910500,2.137424855,0.467852705,0.800000000
26,0.000000584,0.002292600,0.001219487,0.000609743,0.000000000,1.000000000,0.001208306,0.082136400,0.055117847,153.434948823,0.000540371,2.000000000,0.500000000,1.000000000
27,0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,0.083757513,0.056198590,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
28,0.000003796,0.007958543,0.003438101,0.001405785,129.588494387,0.753130545,0.003821000,0.084297884,0.057279332,135.000000000,0.001910500,2.445679738,0.408884281,0.742857143
29,0.000037668,0.043383296,0.019910736,0.002408777,101.355534576,0.251500374,0.020189929,0.021614842,0.017832245,105.524110997,0.003131279,8.265909731,0.120978819,0.724719101
30,0.001044779,0.263388392,0.123513666,0.010770097,172.073548351,0.189252268,0.116198625,0.009186308,0.012968905,170.362461887,0.016754716,11.468204214,0.087197610,0.666108163
31,0.000104536,0.062334686,0.029924409,0.004447866,97.538927882,0.338078452,0.028083703,0.022695584,0.016751503,101.093723012,0.005134183,6.727812069,0.148636732,0.821100917
32,0.000194765,0.055479381,0.017852252,0.013890795,24.030363654,0.795163857,0.019587985,0.010267050,0.024316697,24.443954780,0.014049647,1.285185717,0.778097661,0.916838488
33,0.000004088,0.007063227,0.002941441,0.001769547,82.838640011,1.000000000,0.003150878,0.035664490,0.030260779,59.036243468,0.001621113,1.662256541,0.601591858,0.965517241
34,0.000025112,0.052947045,0.020656010,0.001547912,152.863042917,0.112566461,0.024650635,0.010267050,0.016211132,153.996654155,0.002911183,13.344434080,0.074937610,0.450261780
35,0.000041756,0.053950981,0.022124779,0.002402987,162.615703073,0.180273279,0.024950869,0.032962634,0.027018553,162.349875780,0.003719912,9.207200327,0.108610649,0.598326360
36,0.000054312,0.038056392,0.016550984,0.004178144,154.240815919,0.471250415,0.016786329,0.030260779,0.019993729,146.821488341,0.005162905,3.961324523,0.252440817,0.775000000
37,0.000055188,0.036844534,0.010938667,0.006423795,78.730582942,0.510869172,0.013638349,0.017832245,0.034583747,56.309932474,0.008195859,1.702835674,0.587255726,0.765182186
