 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000177537,0.064441860,0.028270136,0.007995948,82.633318384,0.537231487,0.027362205,0.012428534,0.038366345,80.909723079,0.008247819,3.535557738,0.282840806,0.910179641
2,0.000041172,0.024879564,0.009515265,0.005509250,18.462749957,0.835848534,0.009741678,0.015130389,0.026478182,19.440034828,0.005944082,1.727143297,0.578990754,0.924590164
3,0.000105120,0.042510476,0.016622823,0.008051782,148.095893537,0.730978461,0.016786329,0.011347792,0.009186308,146.821488341,0.008708855,2.064489926,0.484381148,0.898876404
4,0.000139576,0.056003845,0.018771539,0.009467216,104.849997678,0.559224536,0.019370625,0.025937811,0.000540371,120.141385552,0.010529300,1.982793908,0.504338850,0.860486049
5,0.000001460,0.004137542,0.001699088,0.001094078,161.565051177,1.000000000,0.001948336,0.000540371,0.015130389,146.309932474,0.001080742,1.552985744,0.643920914,0.909090909
6,0.000000876,0.003056800,0.001277780,0.000872890,45.000041778,1.000000000,0.001528400,0.005944082,0.017291874,45.000000000,0.001080742,1.463849222,0.683130465,0.857142857
7,0.000089644,0.046200360,0.020532185,0.005559010,27.390915925,0.527766312,0.020110227,0.007024824,0.029720408,30.699722551,0.006044272,3.693496518,0.270746160,0.891146589
8,0.000023944,0.025327222,0.006624965,0.004601766,92.340618858,0.469064689,0.008713221,0.000000000,0.028639666,97.125016349,0.005403711,1.439657209,0.694609796,0.732142857
9,0.000068328,0.045544780,0.018618001,0.004672799,4.654810857,0.413935476,0.018348760,0.000000000,0.005944082,13.626994860,0.005944082,3.984335975,0.250982850,0.841726619
10,0.000016060,0.020163248,0.008919488,0.002292541,174.663493707,0.496404517,0.008912028,0.023776326,0.000000000,165.963756532,0.002701855,3.890656204,0.257026051,0.880000000
11,0.000146876,0.048361845,0.017319085,0.010797851,176.811661162,0.789144051,0.017824055,0.007024824,0.015670761,165.963756532,0.011347792,1.603938146,0.623465439,0.930619796
12,0.000380477,0.082782662,0.027734247,0.017467160,91.900008108,0.697685437,0.029676163,0.030260779,0.055117847,79.508522988,0.019649934,1.587793718,0.629804734,0.899861878
13,0.000025696,0.018263996,0.006659138,0.004913137,13.492164463,0.968021703,0.007024824,0.009726679,0.016211132,22.619864948,0.004863339,1.355373873,0.737803804,0.941176471
14,0.000113588,0.039901334,0.014206840,0.010179968,16.243937141,0.896538184,0.014699682,0.012968905,0.016211132,17.102728969,0.010807421,1.395568267,0.716553983,0.939613527
15,0.000018396,0.019213622,0.006724529,0.003483156,106.036818564,0.626204362,0.007978483,0.000000000,0.010807421,118.300755766,0.003782597,1.930584808,0.517977763,0.900000000
16,0.000023068,0.021189680,0.008841679,0.003321901,13.566158793,0.645613065,0.009058269,0.023235955,0.015670761,17.354024636,0.003788762,2.661632550,0.375709262,0.849462366
17,0.000004380,0.007510885,0.003131619,0.001780806,148.206536669,0.975670297,0.003460063,0.006484453,0.008105566,141.340191746,0.002161484,1.758540151,0.568653493,0.882352941
18,0.000000876,0.003373342,0.001829230,0.000609743,0.000000000,0.967374069,0.001708803,0.012968905,0.012428534,161.565051177,0.000540371,3.000000000,0.333333333,1.000000000
19,0.000001460,0.003821000,0.001699088,0.001094078,161.565051177,1.000000000,0.001948336,0.015130389,0.012968905,146.309932474,0.001080742,1.552985744,0.643920914,0.909090909
20,0.000219877,0.085685850,0.039581473,0.007072896,169.548975880,0.376331673,0.039105097,0.026478182,0.016751503,168.845340261,0.007835112,5.596218517,0.178692093,0.890597280
21,0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,0.008645937,0.001080742,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
22,0.000190093,0.078568314,0.029144480,0.008304605,2.670956840,0.386972535,0.033659522,0.004863339,0.034583747,5.527540152,0.010591539,3.509436181,0.284946056,0.805194805
23,0.000015768,0.018395112,0.007587852,0.002645874,31.948509875,0.585575524,0.008248406,0.028099295,0.048093024,31.607502246,0.003352255,2.867805649,0.348698665,0.788321168
