 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000104536,0.057717672,0.015391704,0.008647501,108.225104529,0.394329655,0.021191917,0.021074471,0.022155213,109.358994176,0.010690402,1.779901958,0.561828698,0.711022840
2,0.000124392,0.086133508,0.038984945,0.004062627,105.369890123,0.210697480,0.039491476,0.016751503,0.016751503,106.699244234,0.004957259,9.595994257,0.104210150,0.811428571
3,0.000218709,0.072554015,0.031146488,0.008940607,126.102104649,0.522099088,0.032749339,0.025397439,0.012968905,127.626233639,0.009724101,3.483710634,0.287050248,0.900781720
4,0.000085556,0.094987367,0.027464566,0.003966333,101.745207117,0.119159847,0.042083076,0.024857068,0.029720408,102.608606793,0.007729332,6.924422889,0.144416367,0.360837438
5,0.000006424,0.010436569,0.004303273,0.001900720,94.101177122,0.741141616,0.004456014,0.049714137,0.016751503,104.036243468,0.002161484,2.264022674,0.441691690,0.814814815
6,0.000115632,0.065698710,0.029337991,0.005018328,51.360324573,0.336647594,0.029621996,0.018912987,0.048093024,51.666659891,0.006665154,5.846168019,0.171052217,0.745762712
7,0.000004672,0.008275085,0.003606603,0.001649362,65.132012031,0.857371602,0.003896671,0.013509276,0.056738961,56.309932474,0.002051727,2.186665976,0.457317218,0.842105263
8,0.000228637,0.090872321,0.040608560,0.007168668,64.735238983,0.347930531,0.040369009,0.009186308,0.067546382,62.062857173,0.008707507,5.664729065,0.176530949,0.810559006
9,0.000029200,0.041538354,0.016188585,0.002296600,5.330167248,0.212664721,0.019105002,0.037285603,0.024316697,8.130102354,0.003401123,7.048935025,0.141865402,0.668896321
10,0.000004088,0.008908169,0.003826710,0.001360181,1.022704244,0.647358972,0.003933961,0.057819703,0.022155213,164.054604099,0.001621113,2.813382128,0.355444072,0.800000000
11,0.001187276,0.267027826,0.115815546,0.013052533,26.407538139,0.209241754,0.116861409,0.016211132,0.105912726,31.190939241,0.019688552,8.873032451,0.112701042,0.727110157
12,0.000242361,0.077903415,0.035260330,0.008751570,57.036860948,0.501832880,0.034197420,0.023776326,0.071328979,58.570434385,0.009264313,4.029028975,0.248198761,0.914096916
13,0.000016936,0.019213622,0.008491071,0.002539568,104.260119819,0.576505603,0.008544017,0.015130389,0.024316697,108.434948823,0.002884463,3.343510644,0.299086830,0.865671642
14,0.000006424,0.015207195,0.006367970,0.001284446,110.116296036,0.349074755,0.007024824,0.017832245,0.021074471,112.619864948,0.002005153,4.957754450,0.201704221,0.628571429
15,0.000007592,0.016921022,0.007572927,0.001276450,101.383091818,0.333207067,0.007736936,0.011888163,0.022155213,102.094757077,0.001777254,5.932802310,0.168554411,0.712328767
