 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000112712,0.055402575,0.025216843,0.005691030,0.909252700,0.461446562,0.024531894,0.010267050,0.027018553,7.594643369,0.006484453,4.430980813,0.225683667,0.880273660
2,0.000222797,0.087553288,0.035949352,0.007890922,69.006477558,0.365236044,0.037328651,0.012968905,0.056198590,67.890551656,0.009476103,4.555786145,0.219501085,0.819108964
3,0.000425445,0.084442178,0.031735124,0.017069218,125.443340507,0.749781490,0.032856160,0.021074471,0.018372616,126.304497123,0.017321827,1.859202050,0.537865156,0.943958536
4,0.000821690,0.129277068,0.048708237,0.021479094,102.480871649,0.617838716,0.050978503,0.011888163,0.009186308,111.124719146,0.023183666,2.267704455,0.440974571,0.917359413
5,0.000267181,0.089900199,0.040771857,0.008343627,163.273388129,0.415426128,0.039339606,0.011347792,0.012428534,159.075498255,0.008577975,4.886586839,0.204641815,0.906838454
6,0.000197977,0.082990584,0.028757445,0.008765439,56.562736268,0.361215244,0.034077668,0.012428534,0.056738961,62.622297229,0.011435078,3.280776498,0.304805890,0.725133690
7,0.000146292,0.059060646,0.023238339,0.008015432,146.081464605,0.527030030,0.025189639,0.018912987,0.014049647,144.605204155,0.009197922,2.899200042,0.344922732,0.870547350
8,0.000011388,0.014442995,0.006741657,0.002150761,171.734716461,0.686031534,0.006835213,0.014590018,0.009186308,161.565051177,0.002161484,3.134544193,0.319025650,0.917647059
9,0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,0.021614842,0.011347792,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
10,0.000015476,0.023798822,0.010385470,0.001897335,160.345793549,0.343367317,0.010766817,0.024857068,0.012428534,162.474431626,0.002698211,5.473714695,0.182691290,0.701986755
11,0.000108916,0.047968497,0.019556273,0.007091156,176.723099765,0.594826945,0.020879591,0.009186308,0.015670761,169.562524649,0.007510853,2.757839989,0.362602618,0.899879373
12,0.000183377,0.112106993,0.054430113,0.004289579,143.541180696,0.183353099,0.052959120,0.032962634,0.012428534,143.714732875,0.005594624,12.688916835,0.078808933,0.755716005
