 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000268641,0.131659652,0.058738128,0.005823204,133.929438193,0.194749538,0.061212378,0.039447087,0.027018553,132.137594774,0.008018144,10.086909022,0.099138398,0.664499819
2,0.000358869,0.081778726,0.032102620,0.014233302,61.218232294,0.674318726,0.031813127,0.029180037,0.034043376,69.102234501,0.014941603,2.255458368,0.443368858,0.923712890
3,0.000020732,0.023482280,0.010275125,0.002569008,65.766989358,0.472467383,0.010394245,0.011347792,0.025937811,62.102728969,0.003087308,3.999646856,0.250022073,0.793296089
4,0.000000876,0.003056800,0.001277780,0.000872890,135.000000000,1.000000000,0.001528400,0.057819703,0.002701855,135.000000000,0.001080742,1.463850116,0.683130048,0.857142857
5,0.000535530,0.160903317,0.047002619,0.014506797,5.293761775,0.259934156,0.052103091,0.025397439,0.022155213,174.644174957,0.025073346,3.240041040,0.308638066,0.611231461
6,0.000023652,0.018765964,0.006789408,0.004435549,173.369865335,0.843989972,0.007045577,0.038906716,0.007024824,147.528807709,0.004322968,1.530680284,0.653304293,0.931034483
7,0.000010512,0.014574111,0.005088221,0.002630455,178.478391082,0.621916885,0.005641639,0.054577476,0.034043376,163.300755766,0.003167981,1.934350540,0.516969380,0.757894737
8,0.000011680,0.013362253,0.005197744,0.002861142,0.150843133,0.822043139,0.005322038,0.059981187,0.038906716,23.962488975,0.002701855,1.816667730,0.550458393,0.930232558
9,0.000079716,0.084342876,0.041437941,0.002449395,78.649184698,0.140818544,0.038925474,0.035664490,0.051875621,76.349580865,0.003436853,16.917626140,0.059109948,0.673242910
10,0.000160016,0.048416155,0.016623729,0.012255933,177.403225499,0.857815695,0.016777629,0.014590018,0.015130389,14.931417178,0.011888163,1.356382243,0.737255302,0.950563747
11,0.000296965,0.101571122,0.026266525,0.014395031,115.030438899,0.361721624,0.030805890,0.008645937,0.012428534,111.614778943,0.015466861,1.824693921,0.548037119,0.773972603
12,0.000025696,0.021058564,0.008135712,0.004021438,72.230699634,0.728147197,0.008713221,0.041068200,0.025937811,60.255118703,0.004445355,2.023085276,0.494294537,0.888888889
13,0.000080008,0.034551933,0.012536703,0.008125714,126.668597831,0.842170208,0.013080998,0.038366345,0.031881892,128.290163192,0.008900163,1.542843300,0.648153964,0.921008403
14,0.000243821,0.072608325,0.026009165,0.011935877,150.482016662,0.581175980,0.030013709,0.014049647,0.008645937,156.665958723,0.013720741,2.179074496,0.458910424,0.881731785
15,0.000127896,0.066888072,0.016833954,0.009673469,157.155730295,0.359228485,0.024286658,0.011888163,0.017832245,147.724355685,0.014860247,1.740218964,0.574640330,0.619519095
16,0.000039420,0.037292192,0.009191986,0.005460328,45.456097833,0.356198406,0.012753215,0.011347792,0.021074471,36.384351816,0.007627251,1.683412843,0.594031348,0.652173913
17,0.000124100,0.049813439,0.020504887,0.007705943,94.335626166,0.628477739,0.021322415,0.009726679,0.019453358,98.746162263,0.008105566,2.660918508,0.375810081,0.919913420
18,0.000277109,0.108787960,0.043757155,0.008063274,51.662463547,0.294237865,0.049289424,0.014049647,0.057819703,52.125016349,0.009695079,5.426723138,0.184273267,0.823427332
19,0.000006716,0.009672369,0.004047401,0.002112739,106.537738031,0.902103040,0.004356611,0.041608571,0.028099295,119.744881297,0.002161484,1.915712571,0.521998976,0.920000000
20,0.000226593,0.095195289,0.025207682,0.011445192,159.345250903,0.314213488,0.029144992,0.015670761,0.039447087,169.315087600,0.017008136,2.202469126,0.454035877,0.574176841
21,0.000086724,0.037739850,0.014593462,0.007566454,28.577880209,0.765156260,0.015052996,0.024316697,0.061061929,21.037511025,0.008396264,1.928705543,0.518482463,0.925233645
22,0.000529690,0.102104904,0.039421729,0.017107868,111.740350849,0.638466475,0.041365748,0.036204861,0.010267050,123.274887985,0.019139749,2.304303987,0.433970520,0.928827445
23,0.000141036,0.052476891,0.021732943,0.008262717,84.053353405,0.643583575,0.020879591,0.018372616,0.054577476,79.562524649,0.008802702,2.630241915,0.380193166,0.905342081
24,0.000019856,0.042008508,0.016462870,0.001535669,120.524392668,0.141393165,0.019647523,0.038906716,0.030801150,121.504266719,0.002601530,10.720324552,0.093280758,0.500000000
25,0.000005256,0.014759537,0.006369197,0.001050708,105.742214929,0.303194298,0.006835213,0.049714137,0.049173766,108.434948823,0.001485715,6.061814593,0.164967104,0.679245283
26,0.000310981,0.084496488,0.034996738,0.011314004,74.453746521,0.547351492,0.035520920,0.010267050,0.042148942,76.809389288,0.012606178,3.093223198,0.323287372,0.860953921
27,0.000154176,0.098699747,0.037015917,0.005303220,116.599909645,0.198882173,0.040847191,0.003242226,0.015670761,117.582029208,0.007948115,6.979893968,0.143268652,0.704000000
28,0.000706350,0.143995474,0.063337410,0.014199395,138.853177059,0.428087162,0.059433447,0.018372616,0.010807421,130.205767933,0.016940450,4.460571106,0.224186539,0.850562588
29,0.000177245,0.052815929,0.016055598,0.014055829,60.413061315,0.798459441,0.017700761,0.012428534,0.031341521,58.736268306,0.014901901,1.142273272,0.875447255,0.923193916
30,0.000148628,0.054529755,0.021165065,0.008941131,100.321848349,0.628123009,0.022049523,0.025397439,0.018372616,107.102728969,0.009420028,2.367157572,0.422447585,0.890638670
