 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000240025,0.081046340,0.035141901,0.008696427,8.467830375,0.459196979,0.034469574,0.009186308,0.021074471,9.019322431,0.009365166,4.040958710,0.247466028,0.866631523
2,0.000157388,0.051920613,0.021085923,0.009503650,163.556501001,0.733674052,0.021018975,0.014049647,0.011888163,162.030860260,0.010070076,2.218718453,0.450710634,0.934142114
3,0.000176077,0.064857704,0.023765253,0.009433420,61.255284782,0.526002957,0.026610188,0.017291874,0.031881892,66.037511025,0.011248794,2.519261711,0.396941690,0.819850442
4,0.000078256,0.045883818,0.020693463,0.004814996,115.647274247,0.467099827,0.020081166,0.014590018,0.011347792,113.805943518,0.005325050,4.297711615,0.232681969,0.864516129
5,0.000103952,0.073874493,0.032243243,0.004104928,111.799612412,0.239361880,0.034129042,0.008105566,0.005403711,113.317708387,0.004977515,7.854764567,0.127311263,0.797312430
6,0.000273021,0.071211041,0.027153007,0.012802298,73.665397650,0.676567233,0.028837796,0.015130389,0.054037105,77.005383208,0.013294106,2.120947851,0.471487311,0.925284513
7,0.001356928,0.202540973,0.087935952,0.019647191,67.709665360,0.415662556,0.086124365,0.008645937,0.092403450,71.337688166,0.019908369,4.475751834,0.223426150,0.938219261
8,0.000186297,0.073666571,0.034132903,0.006949311,77.564481785,0.431393686,0.031785579,0.013509276,0.039447087,72.181111085,0.007129198,4.911696227,0.203595653,0.901766784
9,0.000012848,0.013995337,0.005824635,0.002808525,83.609800528,0.824289847,0.005819974,0.015670761,0.012968905,68.198590514,0.002701855,2.073912590,0.482180399,0.936170213
10,0.000013432,0.014705227,0.006260043,0.002731963,43.009380082,0.780563715,0.006506929,0.014049647,0.023235955,41.633539337,0.003056800,2.291408363,0.436412826,0.859813084
11,0.000066284,0.036134643,0.014343614,0.005883849,82.341260824,0.637928971,0.014629991,0.016751503,0.023776326,94.236394799,0.006484453,2.437794304,0.410206882,0.888454012
12,0.000216373,0.072531519,0.027138186,0.010151534,104.986999065,0.516843048,0.028026458,0.027018553,0.028099295,109.133643206,0.012632230,2.673309025,0.374068239,0.804123711
13,0.000033872,0.031680559,0.014364097,0.003002437,168.876227486,0.424098105,0.014418898,0.017291874,0.009186308,167.005383208,0.003483359,4.784145911,0.209023725,0.846715328
14,0.000066868,0.045228238,0.019834628,0.004292455,169.229599576,0.410780817,0.021102164,0.007024824,0.005944082,166.675468738,0.004800965,4.620812516,0.216412156,0.880769231
15,0.000093440,0.047651955,0.019444354,0.006118581,98.378346659,0.517109548,0.020711091,0.012428534,0.011347792,105.124007308,0.006645813,3.177918881,0.314671342,0.852197071
16,0.000631598,0.196635295,0.096003141,0.008376553,154.111375410,0.205270996,0.087242735,0.011888163,0.012428534,153.911080075,0.009852498,11.460936288,0.087252906,0.832403310
17,0.000071248,0.039715908,0.016841774,0.005386371,41.702120761,0.567616296,0.017593207,0.017832245,0.025937811,42.510447078,0.006247321,3.126738496,0.319822077,0.884057971
18,0.000130816,0.048809503,0.018735426,0.008890142,37.539853775,0.690022521,0.020984216,0.005944082,0.028099295,34.508522988,0.009826719,2.107438314,0.474509737,0.907801418
19,0.000026280,0.027411901,0.012834030,0.002607196,91.747725583,0.439499340,0.012533813,0.007024824,0.013509276,97.431407971,0.002701855,4.922540545,0.203147133,0.882352941
20,0.000067452,0.036636612,0.015967673,0.005378543,87.044238765,0.631502969,0.015369733,0.011347792,0.009726679,100.124671655,0.005403711,2.968773024,0.336839493,0.939024390
21,0.000255793,0.063460420,0.024432132,0.013330211,43.989309830,0.798164188,0.023996369,0.012968905,0.023776326,54.162347046,0.013373501,1.832839170,0.545601609,0.931419458
22,0.000127312,0.064147814,0.028176158,0.005753061,118.122528550,0.388791518,0.028999354,0.016751503,0.012968905,116.565051177,0.007012837,4.897593906,0.204181894,0.848249027
23,0.000142204,0.052291465,0.020427487,0.008863562,94.050183468,0.653523725,0.020348397,0.016751503,0.027018553,79.286876977,0.009720754,2.304658955,0.433903679,0.891125343
24,0.000007300,0.012096085,0.005482958,0.001695194,39.055670980,0.626966527,0.005744223,0.007565195,0.021074471,41.185925166,0.002250479,3.234413329,0.309175080,0.781250000
25,0.000082928,0.053896671,0.020215515,0.005223094,15.569718961,0.358747160,0.022214443,0.007024824,0.022695584,18.434948823,0.007970658,3.870410288,0.258370541,0.649885584
26,0.000076504,0.051396149,0.024122690,0.004038033,100.005061748,0.363943653,0.023634671,0.011347792,0.012428534,100.539183729,0.004584953,5.973872033,0.167395618,0.873333333
27,0.001095003,0.183340529,0.083862720,0.016624806,48.002172696,0.409362751,0.080095313,0.021074471,0.078353803,52.125016349,0.017674121,5.044432875,0.198238340,0.896807366
28,0.000201773,0.081308572,0.032655905,0.007867026,160.408201926,0.383530051,0.036749205,0.012428534,0.004322968,160.232831323,0.009356505,4.150984765,0.240906690,0.863210493
