 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000353905,0.075479699,0.023547351,0.019136162,55.652124616,0.780613962,0.025808022,0.022695584,0.041068200,70.426874170,0.020433559,1.230515873,0.812667290,0.928735632
2,0.000100156,0.044093186,0.017378963,0.007337777,74.133682744,0.647358972,0.018116539,0.026478182,0.034583747,72.645975364,0.007998342,2.368423420,0.422221800,0.912234043
3,0.000109792,0.095009863,0.046630284,0.002997879,114.983443188,0.152842621,0.043499031,0.019453358,0.007024824,116.565051177,0.003811025,15.554426866,0.064290379,0.736532811
4,0.000054020,0.030545507,0.012515726,0.005495535,68.226455713,0.727563781,0.012844473,0.015670761,0.022695584,67.750976343,0.006153240,2.277435623,0.439090348,0.911330049
5,0.000110376,0.064627286,0.021007387,0.006689814,83.217046953,0.332088607,0.024531894,0.014590018,0.023235955,97.594643369,0.011347792,3.140205012,0.318450546,0.595275591
6,0.000050808,0.026855623,0.009456944,0.006840576,127.610182417,0.885264025,0.010323774,0.010807421,0.020534100,137.121096397,0.007252577,1.382477749,0.723338947,0.923076923
7,0.000094024,0.043962070,0.019145511,0.006252925,77.835578457,0.611355209,0.018483534,0.021074471,0.027558924,74.744881297,0.006905390,3.061848978,0.326600040,0.899441341
8,0.000035040,0.054878111,0.027382393,0.001629312,179.816586519,0.146209957,0.026500228,0.025397439,0.017832245,2.337305859,0.001621113,16.806112649,0.059502160,0.845070423
9,0.000237689,0.066571530,0.024420041,0.012392881,29.737417025,0.673971202,0.025688947,0.010267050,0.024857068,22.249023657,0.013731220,1.970489376,0.507488146,0.894505495
10,0.000141620,0.084912332,0.037358216,0.004826695,52.784464123,0.246827883,0.039015389,0.010807421,0.044310426,53.447527248,0.007020970,7.739916161,0.129200366,0.714285714
11,0.000197393,0.065097440,0.025300918,0.009933555,24.127998686,0.585346316,0.027104874,0.007024824,0.030801150,23.498565676,0.010156981,2.547015497,0.392616378,0.919102651
12,0.000070080,0.044409728,0.020426056,0.004368386,70.464351841,0.446528339,0.019869202,0.014590018,0.024316697,67.619864948,0.005130287,4.675881981,0.213863396,0.860215054
13,0.000037668,0.033810229,0.016500329,0.002906641,137.115445350,0.414083092,0.016066386,0.034583747,0.016751503,137.726310994,0.003438900,5.676768729,0.176156551,0.793846154
14,0.000738762,0.155359173,0.063309422,0.014857524,25.039807105,0.384627859,0.067979452,0.009186308,0.070248237,23.916245418,0.017175225,4.261101733,0.234681090,0.847855228
15,0.000287621,0.077826609,0.028059027,0.013051424,68.194897376,0.596724715,0.028883326,0.012428534,0.038906716,72.582029208,0.015211638,2.149882464,0.465141707,0.850971922
16,0.000002336,0.004901742,0.001911593,0.001555926,45.000187449,1.000000000,0.002292600,0.014590018,0.037285603,45.000000000,0.001621113,1.228588533,0.813942157,0.941176471
17,0.000078548,0.063153196,0.027863053,0.003589367,2.808464558,0.247488844,0.029842967,0.019993729,0.014590018,5.194428908,0.004322968,7.762665066,0.128821737,0.821374046
18,0.000028032,0.022586964,0.009887024,0.003609939,97.508356982,0.690477488,0.009963950,0.029720408,0.064844526,102.528807709,0.003782597,2.738833838,0.365118901,0.905660377
19,0.000191553,0.078143151,0.018067194,0.013499180,17.319007766,0.394199448,0.024950869,0.043229684,0.039987458,17.650124220,0.017043914,1.338391981,0.747165265,0.658965344
20,0.000062780,0.035053901,0.015141027,0.005279313,8.046887428,0.642036555,0.015216987,0.070248237,0.039987458,16.504361382,0.005403711,2.867991844,0.348676026,0.938864629
21,0.000190677,0.111975877,0.047713364,0.005088238,128.837229890,0.191098930,0.052323993,0.022695584,0.014049647,128.290163192,0.007092772,9.377187950,0.106641778,0.640824338
22,0.000162352,0.058798414,0.024984308,0.008273738,20.306796429,0.590116272,0.024644712,0.009726679,0.017291874,15.255118703,0.008713787,3.019712340,0.331157371,0.906275469
23,0.000010220,0.023296854,0.010318859,0.001261045,57.892575039,0.236628743,0.010941680,0.011888163,0.018912987,57.094757077,0.001808894,8.182783184,0.122207808,0.666666667
24,0.000086432,0.046123554,0.020684955,0.005320242,170.256044227,0.510552246,0.020110227,0.016211132,0.020534100,173.829824905,0.006028216,3.887972573,0.257203460,0.894259819
25,0.000199729,0.080915224,0.037403127,0.006798960,9.869489224,0.383344855,0.035623529,0.009726679,0.020534100,9.605204155,0.007632416,5.501301686,0.181775161,0.871337580
26,0.000226009,0.124334194,0.060239764,0.004776964,126.693402552,0.183718890,0.058061606,0.018372616,0.008105566,128.576529563,0.006862006,12.610470478,0.079299183,0.685562445
27,0.000195057,0.061701602,0.026865842,0.009244220,0.203190661,0.643839473,0.026139664,0.017291874,0.021074471,172.874983651,0.009169015,2.906231332,0.344088232,0.946846208
28,0.000101616,0.050261097,0.021702884,0.005961507,101.294242247,0.505486239,0.021628347,0.023235955,0.017832245,102.994616792,0.006686614,3.640502957,0.274687320,0.895752896
