 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000165856,0.058350756,0.023056239,0.009159128,63.504999636,0.612138062,0.025858886,0.036204861,0.037285603,63.970407808,0.010541662,2.517296284,0.397251609,0.919093851
2,0.000011972,0.013176827,0.005416385,0.002814288,36.027680944,0.866475263,0.005845007,0.019993729,0.021614842,33.690067526,0.003056800,1.924602205,0.519587891,0.901098901
3,0.000064824,0.029595881,0.009304502,0.008870623,130.171676303,0.930003219,0.010094964,0.017832245,0.018912987,74.475889003,0.008788301,1.048911922,0.953368895,0.936708861
4,0.000043216,0.025458338,0.009429429,0.005835399,156.351730596,0.837906619,0.010152650,0.011347792,0.029180037,154.798876355,0.006607497,1.615901197,0.618849718,0.902439024
5,0.000016936,0.016419054,0.006086751,0.003542719,88.589654034,0.789452075,0.006324881,0.012428534,0.011347792,70.016893478,0.003782597,1.718101433,0.582037813,0.892307692
6,0.000045552,0.025458338,0.008804104,0.006587698,131.468949103,0.883198869,0.009296895,0.022155213,0.012428534,144.462322208,0.007010093,1.336446256,0.748253060,0.904347826
7,0.000153008,0.053263587,0.020604915,0.009454852,142.540724318,0.677742127,0.020858603,0.008105566,0.009726679,143.426969021,0.010457008,2.179295375,0.458863911,0.876254181
8,0.000117676,0.042062818,0.013500231,0.011098342,135.447017004,0.835799934,0.014600022,0.012428534,0.009726679,128.990994043,0.011746135,1.216418755,0.822085319,0.929642445
9,0.000072708,0.034814165,0.012761156,0.007254435,122.407801412,0.753843838,0.013291370,0.017832245,0.014590018,116.565051177,0.008329784,1.759083342,0.568477898,0.876760563
10,0.000186881,0.052870239,0.018840375,0.012629458,84.384875249,0.840139574,0.019483355,0.022155213,0.035124118,70.559965172,0.012968905,1.491780193,0.670340044,0.942562592
11,0.000063364,0.028700565,0.009852428,0.008188620,10.226621737,0.966658036,0.010436298,0.006484453,0.052415992,21.250505507,0.008105566,1.203185325,0.831127158,0.953846154
12,0.000064532,0.030228965,0.010058744,0.008168509,165.155385404,0.887441508,0.011140035,0.009726679,0.015130389,157.166345822,0.008645937,1.231405086,0.812080453,0.924686192
13,0.000038836,0.023034622,0.007596685,0.006509113,68.566581019,0.919778958,0.008458145,0.017832245,0.019993729,63.434948823,0.006484453,1.167084606,0.856835910,0.926829268
14,0.000403253,0.077618687,0.026972885,0.019035336,86.954726966,0.841114473,0.027854018,0.027558924,0.019453358,108.083445383,0.019054987,1.416990250,0.705721158,0.958029830
