 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000238565,0.059322878,0.020073838,0.015131637,39.424391300,0.851866724,0.020541209,0.024316697,0.027558924,63.434948823,0.015061457,1.326613711,0.753798933,0.941786744
2,0.000142496,0.046942065,0.016797655,0.010801037,93.537260413,0.812623666,0.016959389,0.035664490,0.031341521,67.520565603,0.010447385,1.555189165,0.643008595,0.946653734
3,0.000288205,0.075402893,0.030313911,0.012105130,28.839015400,0.636993717,0.030477119,0.016751503,0.028099295,37.073073317,0.012810509,2.504220149,0.399325914,0.921999066
4,0.000076504,0.043012444,0.017936296,0.005430787,19.611851778,0.519645373,0.018116539,0.023235955,0.041068200,17.354024636,0.005910439,3.302706293,0.302781995,0.867549669
5,0.000003504,0.007827427,0.003357251,0.001328898,71.268824432,0.718682779,0.003624919,0.039987458,0.049173766,63.434948823,0.001621113,2.526342034,0.395829221,0.827586207
6,0.000012556,0.014574111,0.006033969,0.002649474,114.060699809,0.742845169,0.006301755,0.029720408,0.047552653,120.963756532,0.003076620,2.277421818,0.439093010,0.851485149
7,0.000167025,0.079137769,0.038959119,0.005458599,50.001033522,0.335137044,0.035783010,0.033503005,0.037825974,51.745579647,0.006223545,7.137201561,0.140110937,0.821839080
8,0.000005840,0.010120027,0.004096384,0.001815196,178.405031957,0.716573384,0.004456014,0.015130389,0.010267050,165.963756532,0.002161484,2.256716910,0.443121596,0.784313725
9,0.000102492,0.041429734,0.015004961,0.008696941,29.744649113,0.750372387,0.015360231,0.048633395,0.051335250,39.289406863,0.009297480,1.725314880,0.579604345,0.917647059
10,0.000283533,0.075194971,0.028200227,0.012801501,77.435013240,0.630137973,0.030115689,0.046471911,0.057279332,80.706691401,0.013539538,2.202884381,0.453950288,0.888787185
11,0.000119428,0.043405792,0.016627165,0.009145330,152.990138840,0.796566342,0.017173261,0.027558924,0.015670761,155.854458040,0.009900444,1.818104575,0.550023367,0.928490352
12,0.000249953,0.094878747,0.040158546,0.007924832,156.361673780,0.348923242,0.042576301,0.014049647,0.019453358,156.037511025,0.009734260,5.067431836,0.197338619,0.831471588
13,0.000119720,0.081516494,0.035012155,0.004353708,156.763205443,0.226405457,0.036761121,0.021614842,0.012968905,155.695450734,0.005971935,8.041916530,0.124348468,0.673234811
14,0.000022776,0.040371488,0.019511856,0.001486245,132.504621130,0.175605903,0.019883893,0.014049647,0.019993729,132.797401838,0.002292600,13.128293367,0.076171363,0.655462185
15,0.000000584,0.002609142,0.001219487,0.000609743,90.000000000,1.000000000,0.001208306,0.031341521,0.038906716,116.565051177,0.000540371,2.000000000,0.500000000,1.000000000
16,0.000169653,0.053186781,0.020323153,0.010628680,101.596822304,0.753637906,0.020682874,0.017291874,0.009186308,109.855214369,0.010757666,1.912105104,0.522983804,0.924423230
17,0.000214037,0.061461866,0.023229259,0.011731752,15.254830330,0.712010683,0.023603764,0.035124118,0.027018553,15.945395901,0.012391498,1.980033209,0.505042034,0.930203046
18,0.000461361,0.089529347,0.033195890,0.017695671,31.327704882,0.723303012,0.035783010,0.021614842,0.050794879,38.254420353,0.019160432,1.875932791,0.533068138,0.944129071
19,0.000029200,0.020556596,0.007543128,0.004928818,77.220500835,0.868343618,0.007867921,0.015670761,0.046471911,74.054604099,0.005304370,1.530413052,0.653418369,0.892857143
20,0.000003796,0.007827427,0.003142102,0.001538216,91.318379213,0.778573011,0.003417607,0.030801150,0.049173766,71.565051177,0.001621113,2.042692560,0.489549930,0.838709677
21,0.000004672,0.010884227,0.004772213,0.001246506,120.811841011,0.495585755,0.005097850,0.014049647,0.017832245,122.005383208,0.001802431,3.828471631,0.261200838,0.695652174
22,0.000427781,0.096931611,0.038270937,0.014231897,143.900354753,0.572137979,0.040854339,0.010807421,0.014049647,142.523820439,0.015247750,2.689095906,0.371872196,0.920515237
23,0.000001168,0.004585200,0.001986613,0.000748585,39.690172362,0.698131701,0.002292600,0.019453358,0.019993729,45.000000000,0.001146300,2.653826222,0.376814424,0.666666667
