 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000070080,0.052074225,0.025510016,0.003497798,143.091765207,0.324757829,0.024644712,0.050794879,0.034043376,142.125016349,0.004136111,7.293163486,0.137114711,0.823327616
2,0.000253457,0.086689786,0.040823043,0.007905123,4.036316472,0.423816515,0.038940474,0.016211132,0.049173766,2.385944030,0.008168915,5.164124979,0.193643648,0.918518519
3,0.000067744,0.057215703,0.026588536,0.003244052,28.559709085,0.260046802,0.026351055,0.044310426,0.057819703,28.141601232,0.004432132,8.196087828,0.122009429,0.728414443
4,0.000066868,0.058242136,0.024963320,0.003410574,53.206156655,0.247716490,0.026921110,0.013509276,0.070788608,51.519801752,0.004964068,7.319390641,0.136623395,0.617250674
5,0.000105412,0.106210632,0.031689358,0.004235338,26.220963538,0.117426261,0.048576322,0.023776326,0.050254508,27.135139622,0.007319543,7.482132715,0.133651732,0.420991254
6,0.000071832,0.040480108,0.014576297,0.006274544,140.289689925,0.550865789,0.016470240,0.025937811,0.040527829,131.009086902,0.007785201,2.323084517,0.430462169,0.836734694
7,0.000064824,0.054366825,0.025503798,0.003236252,142.043516315,0.275599894,0.025632050,0.034583747,0.014049647,145.304846469,0.004231781,7.880658028,0.126892957,0.736318408
8,0.000056356,0.032838107,0.010182823,0.007046661,38.147270572,0.656742459,0.011639949,0.029720408,0.016211132,21.801409486,0.008378369,1.445056502,0.692014463,0.816067653
9,0.000039712,0.057432944,0.024389307,0.002073164,83.238581862,0.151290192,0.026675947,0.044310426,0.072409721,83.018942593,0.003021249,11.764290167,0.085003004,0.668304668
10,0.000084388,0.081484680,0.040630745,0.002644462,125.753614406,0.159712877,0.038696001,0.044310426,0.012968905,125.909723079,0.003542087,15.364465559,0.065085245,0.715346535
11,0.000036792,0.035207513,0.016551599,0.002830250,44.125938887,0.372987139,0.016829761,0.032962634,0.023776326,42.397437798,0.003438900,5.848104463,0.170995578,0.802547771
12,0.000059276,0.052947045,0.023742980,0.003178741,63.679212241,0.265709205,0.023929348,0.025397439,0.056198590,64.592281891,0.004254822,7.469304323,0.133881277,0.734177215
13,0.000146584,0.074299655,0.030719423,0.006075541,168.927623829,0.333675360,0.034026217,0.011888163,0.019993729,169.939310205,0.007296448,5.056245015,0.197775226,0.849407783
14,0.000101032,0.055447567,0.025506120,0.005043430,137.256774648,0.412957276,0.025671891,0.005403711,0.010267050,139.267893300,0.005903624,5.057296716,0.197734097,0.844932845
15,0.000159140,0.077039913,0.031448643,0.006443011,171.655302658,0.336944946,0.033935990,0.031881892,0.015670761,170.837652954,0.007769367,4.881047720,0.204874047,0.806809771
16,0.000207029,0.139681823,0.057504687,0.004583922,113.747047451,0.133340003,0.064040240,0.010267050,0.027018553,116.565051177,0.007375302,12.544864498,0.079713894,0.561139691
17,0.000108332,0.041375424,0.015392623,0.008960981,127.919086652,0.795212161,0.015255317,0.011347792,0.039987458,112.932100438,0.009279441,1.717738636,0.582160743,0.910429448
18,0.000069204,0.066680150,0.031957120,0.002757243,69.430238687,0.195591159,0.030805890,0.014049647,0.051335250,68.385221057,0.003463002,11.590246214,0.086279444,0.783471074
19,0.000021900,0.030807739,0.014509313,0.001921802,151.670869673,0.289958356,0.014276436,0.067006011,0.030260779,150.524110997,0.002428958,7.549847418,0.132453008,0.750000000
20,0.000230389,0.149462812,0.032274806,0.009088823,153.319951720,0.129599916,0.062936411,0.029180037,0.016751503,150.133083148,0.017071475,3.551043561,0.281607359,0.347500551
21,0.000352153,0.097216339,0.044375318,0.010104157,44.781266201,0.468233841,0.042620857,0.044850797,0.042148942,50.659481840,0.010585539,4.391788014,0.227697693,0.901345291
22,0.000155344,0.074606879,0.031909362,0.006198517,141.055332843,0.350709801,0.033611775,0.054037105,0.032422263,143.498558879,0.007599469,5.147902710,0.194253865,0.805450416
23,0.000079716,0.057107083,0.025303622,0.004011199,48.932235869,0.307168519,0.026790636,0.029720408,0.035664490,48.270487923,0.004982113,6.308243521,0.158522732,0.804123711
24,0.000395661,0.120707938,0.041835741,0.012041653,98.180640543,0.341241351,0.049837330,0.029720408,0.024316697,99.360190802,0.015536695,3.474252308,0.287831715,0.754874652
25,0.000160892,0.070130299,0.020424611,0.010029795,80.105809923,0.411087469,0.024075335,0.053496734,0.051335250,99.039482803,0.014476951,2.036393574,0.491064209,0.636994220
26,0.000002336,0.005349401,0.002401216,0.001238662,144.645023110,1.000000000,0.002701855,0.011347792,0.076192318,143.130102354,0.001528400,1.938556006,0.515847877,0.842105263
