 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000079424,0.040611224,0.016220623,0.006234414,37.516836749,0.605160768,0.016881731,0.014049647,0.047012282,39.805571092,0.007259901,2.601787950,0.384351077,0.883116883
2,0.000003212,0.009355827,0.004069327,0.001004996,116.636432814,0.461128906,0.004356611,0.016751503,0.024857068,119.744881297,0.001450790,4.049098017,0.246968583,0.687500000
3,0.000002336,0.005665943,0.002052047,0.001449429,97.018121734,0.914407274,0.002416613,0.022695584,0.015670761,116.565051177,0.001621113,1.415762260,0.706333279,0.800000000
4,0.000038836,0.042062818,0.018073381,0.002735940,23.304037118,0.275834718,0.019370625,0.013509276,0.024857068,22.988716802,0.003884872,6.605913411,0.151379520,0.675126904
5,0.000036208,0.027619823,0.008381589,0.005500341,113.516850060,0.596449846,0.010657783,0.042689313,0.022155213,120.465544919,0.006770353,1.523830811,0.656240832,0.800000000
6,0.000001460,0.004137542,0.001699088,0.001094078,108.434948823,1.000000000,0.001948336,0.047552653,0.032422263,123.690067526,0.001080742,1.552985744,0.643920914,0.909090909
7,0.000124684,0.062542608,0.025294190,0.006276266,168.817540077,0.400562157,0.026083750,0.027018553,0.022155213,166.827446577,0.007548475,4.030133279,0.248130752,0.767295597
8,0.000008468,0.011648427,0.004180017,0.002579373,114.221394569,0.784255263,0.004648448,0.022695584,0.032962634,125.537677792,0.003015191,1.620555153,0.617072488,0.840579710
9,0.000100740,0.042695902,0.015684572,0.008177879,48.265162466,0.694449587,0.017995249,0.014590018,0.037825974,48.652222780,0.009170401,1.917926630,0.521396379,0.931174089
10,0.000095192,0.042325050,0.015350239,0.007895811,40.749272358,0.667754243,0.016039101,0.004863339,0.029720408,32.619243071,0.009170401,1.944099073,0.514377078,0.846753247
11,0.000000292,0.001528400,0.000609743,0.000609743,0.000000000,1.000000000,0.000764200,0.043229684,0.034583747,135.000000000,0.000540371,1.000000000,1.000000000,1.000000000
