 ,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,0.000468953,0.099595064,0.041963978,0.014228633,61.672251429,0.594105991,0.039417466,0.009726679,0.047552653,61.326853511,0.014480658,2.949262857,0.339067777,0.927787406
2,0.000012556,0.014126453,0.005049376,0.003166103,171.890513165,0.790671697,0.005819974,0.010807421,0.017291874,158.198590514,0.003242226,1.594823759,0.627028532,0.843137255
3,0.000043508,0.026276849,0.008895005,0.006227795,22.316122880,0.791833242,0.009560140,0.012428534,0.017832245,42.709389957,0.006774898,1.428275215,0.700145175,0.897590361
4,0.000115924,0.040982076,0.013733347,0.010747523,170.424279381,0.867354461,0.014867571,0.012428534,0.014590018,160.906508000,0.011347792,1.277815080,0.782585849,0.937426210
5,0.000005840,0.008722743,0.003152307,0.002358825,157.398050645,0.964534743,0.003624919,0.015130389,0.020534100,153.434948823,0.002674700,1.336388961,0.748285139,0.851063830
6,0.000156512,0.054082097,0.018794130,0.010603197,68.921049248,0.672437241,0.019669803,0.008105566,0.029720408,52.815293547,0.011679002,1.772496531,0.564175998,0.841444270
7,0.000050224,0.029595881,0.011852639,0.005395201,36.496991583,0.720543034,0.012440276,0.008105566,0.018912987,34.380344724,0.006113601,2.196885308,0.455189898,0.905263158
8,0.000122056,0.056768045,0.016527230,0.009403087,65.880332419,0.475951189,0.020189929,0.018912987,0.029180037,74.475889003,0.012877431,1.757638703,0.568945141,0.732049037
9,0.000021608,0.024246480,0.010995625,0.002502108,63.329714639,0.461879118,0.011126921,0.018372616,0.025397439,60.945395901,0.002904323,4.394544450,0.227554872,0.826815642
10,0.000063072,0.049496897,0.021012803,0.003821765,74.928354301,0.323513066,0.022214443,0.017832245,0.039447087,71.565051177,0.005164716,5.498192660,0.181877948,0.683544304
