 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1st_KOH_E.tif (RGB),0.000397121,0.093133104,0.036968145,0.013677461,125.604822,0.575340231,0.039149872,1.002928649,0.028099294,116.211378,0.015092632,2.702851365,0.369979649,0.906062625
2,1st_KOH_E.tif (RGB),0.000269517,0.066888071,0.020784312,0.016510503,33.62784225,0.757004318,0.022989597,0.932680414,0.068086751,29.57783868,0.017145943,1.258853937,0.794373335,0.911154985
3,1st_KOH_E.tif (RGB),0.000145124,0.083863402,0.039421408,0.004687254,69.20561115,0.259301741,0.03732865,1.857255262,0.117800887,67.89055166,0.005890953,8.410341332,0.118901238,0.775956284
4,1st_KOH_E.tif (RGB),0.000417269,0.091559712,0.037024463,0.014349531,115.3594109,0.625485697,0.036887993,0.905121491,0.409601248,121.8274466,0.014596785,2.580186318,0.387568911,0.941680395
5,1st_KOH_E.tif (RGB),0.00065817,0.224929328,0.091156691,0.00919305,167.8926411,0.163476652,0.100783183,1.918317189,0.456073157,168.8708107,0.013688472,9.915827026,0.100848875,0.599866933
6,1st_KOH_E.tif (RGB),0.000775262,0.132541787,0.051328883,0.019230783,28.39485281,0.554565533,0.055605729,1.127754359,0.484172451,34.30778785,0.020613079,2.669100061,0.374658116,0.921555016
7,1st_KOH_E.tif (RGB),0.00016352,0.054213212,0.019269326,0.010804775,101.0040238,0.699152229,0.020858602,0.500923953,0.541992152,106.5570714,0.011347792,1.783408322,0.560724085,0.914285714
8,1st_KOH_E.tif (RGB),0.000637146,0.103022713,0.034201858,0.02371916,168.2365954,0.75436716,0.036349744,0.916469283,0.583600722,168.8571101,0.025757445,1.44195066,0.693505005,0.940112021
9,1st_KOH_E.tif (RGB),0.000325581,0.072870555,0.023531891,0.017616202,44.8572782,0.770485919,0.026078152,0.256135873,0.681948252,34.01934999,0.017854936,1.335809554,0.748609708,0.915811088
10,1st_KOH_E.tif (RGB),0.000314485,0.087716216,0.037710638,0.010618082,2.307456103,0.513629452,0.038014632,1.33093387,0.721395337,174.2894069,0.011347792,3.551549042,0.281567279,0.928048255
11,1st_KOH_E.tif (RGB),0.000037668,0.025458338,0.010202994,0.004700633,117.9244273,0.730337526,0.0101957,0.097266787,0.975369726,122.0053832,0.005077078,2.17055734,0.460711165,0.880546075
12,1st_KOH_E.tif (RGB),0.000223965,0.065468291,0.025992847,0.010970736,174.1669954,0.656640031,0.027023955,0.131850534,1.147207716,168.4653793,0.012171059,2.369289291,0.422067497,0.922984356
13,1st_KOH_E.tif (RGB),0.000415809,0.085446112,0.024625489,0.021499055,144.3770709,0.715680808,0.029024515,2.207415695,1.243934132,151.0490048,0.022342503,1.145421924,0.873040736,0.911651729
14,1st_KOH_E.tif (RGB),0.00011096,0.040457611,0.014192006,0.009954835,107.2960664,0.851877456,0.015293551,0.029180036,1.342822033,122.0053832,0.009978179,1.425639505,0.701439597,0.946450809
15,1st_KOH_E.tif (RGB),0.000298717,0.080589362,0.035205656,0.010803325,44.25788521,0.577981845,0.034524593,2.544066853,1.402262847,39.92039214,0.011080901,3.258779702,0.306863333,0.914209115
16,1st_KOH_E.tif (RGB),0.000336969,0.08054437,0.028139553,0.015246946,93.86045781,0.65272377,0.030649091,2.179316401,1.429281399,80.86982352,0.016209336,1.845586184,0.541833272,0.928025734
17,1st_KOH_E.tif (RGB),0.000337261,0.080250324,0.028275946,0.015186549,35.80803729,0.658085609,0.030381157,1.245555246,1.4871011,51.49934628,0.01689934,1.861907256,0.537083679,0.897435897
18,1st_KOH_E.tif (RGB),0.000458149,0.092509339,0.036936977,0.01579268,162.3548194,0.672737732,0.037768031,1.070475029,1.517902249,160.7873282,0.017439645,2.338866842,0.427557474,0.923756256
