 ,Label,Area,Perim.,Major,Minor,Angle,Circ.,Feret,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
1,1st_KOH_E.tif (RGB),0.000397121,0.093133104,0.036968145,0.013677461,125.604821997,0.575340231,0.039149872,1.002928649,0.028099294,116.211378018,0.015092632,2.702851365,0.369979649,0.906062625
2,1st_KOH_E.tif (RGB),0.000269517,0.066888071,0.020784312,0.016510503,33.627842254,0.757004318,0.022989597,0.932680414,0.068086751,29.577838681,0.017145943,1.258853937,0.794373335,0.911154985
3,1st_KOH_E.tif (RGB),0.000145124,0.083863402,0.039421408,0.004687254,69.205611151,0.259301741,0.037328650,1.857255262,0.117800887,67.890551656,0.005890953,8.410341332,0.118901238,0.775956284
4,1st_KOH_E.tif (RGB),0.000417269,0.091559712,0.037024463,0.014349531,115.359410914,0.625485697,0.036887993,0.905121491,0.409601248,121.827446577,0.014596785,2.580186318,0.387568911,0.941680395
5,1st_KOH_E.tif (RGB),0.000658170,0.224929328,0.091156691,0.009193050,167.892641102,0.163476652,0.100783183,1.918317189,0.456073157,168.870810710,0.013688472,9.915827026,0.100848875,0.599866933
6,1st_KOH_E.tif (RGB),0.000775262,0.132541787,0.051328883,0.019230783,28.394852810,0.554565533,0.055605729,1.127754359,0.484172451,34.307787845,0.020613079,2.669100061,0.374658116,0.921555016
7,1st_KOH_E.tif (RGB),0.000163520,0.054213212,0.019269326,0.010804775,101.004023834,0.699152229,0.020858602,0.500923953,0.541992152,106.557071376,0.011347792,1.783408322,0.560724085,0.914285714
8,1st_KOH_E.tif (RGB),0.000637146,0.103022713,0.034201858,0.023719160,168.236595418,0.754367160,0.036349744,0.916469283,0.583600722,168.857110142,0.025757445,1.441950660,0.693505005,0.940112021
9,1st_KOH_E.tif (RGB),0.000325581,0.072870555,0.023531891,0.017616202,44.857278198,0.770485919,0.026078152,0.256135873,0.681948252,34.019349990,0.017854936,1.335809554,0.748609708,0.915811088
10,1st_KOH_E.tif (RGB),0.000314485,0.087716216,0.037710638,0.010618082,2.307456103,0.513629452,0.038014632,1.330933870,0.721395337,174.289406863,0.011347792,3.551549042,0.281567279,0.928048255
11,1st_KOH_E.tif (RGB),0.000037668,0.025458338,0.010202994,0.004700633,117.924427272,0.730337526,0.010195700,0.097266787,0.975369726,122.005383208,0.005077078,2.170557340,0.460711165,0.880546075
12,1st_KOH_E.tif (RGB),0.000223965,0.065468291,0.025992847,0.010970736,174.166995362,0.656640031,0.027023955,0.131850534,1.147207716,168.465379346,0.012171059,2.369289291,0.422067497,0.922984356
13,1st_KOH_E.tif (RGB),0.000415809,0.085446112,0.024625489,0.021499055,144.377070916,0.715680808,0.029024515,2.207415695,1.243934132,151.049004793,0.022342503,1.145421924,0.873040736,0.911651729
14,1st_KOH_E.tif (RGB),0.000110960,0.040457611,0.014192006,0.009954835,107.296066378,0.851877456,0.015293551,0.029180036,1.342822033,122.005383208,0.009978179,1.425639505,0.701439597,0.946450809
15,1st_KOH_E.tif (RGB),0.000298717,0.080589362,0.035205656,0.010803325,44.257885206,0.577981845,0.034524593,2.544066853,1.402262847,39.920392140,0.011080901,3.258779702,0.306863333,0.914209115
16,1st_KOH_E.tif (RGB),0.000336969,0.080544370,0.028139553,0.015246946,93.860457809,0.652723770,0.030649091,2.179316401,1.429281399,80.869823518,0.016209336,1.845586184,0.541833272,0.928025734
17,1st_KOH_E.tif (RGB),0.000337261,0.080250324,0.028275946,0.015186549,35.808037286,0.658085609,0.030381157,1.245555246,1.487101100,51.499346280,0.016899340,1.861907256,0.537083679,0.897435897
18,1st_KOH_E.tif (RGB),0.000458149,0.092509339,0.036936977,0.015792680,162.354819423,0.672737732,0.037768031,1.070475029,1.517902249,160.787328183,0.017439645,2.338866842,0.427557474,0.923756256
19,1st_KOH_E.tif (RGB),0.000102200,0.039268249,0.014326404,0.009082912,159.919680119,0.832873362,0.014945924,0.917550025,1.768094041,167.471192291,0.009361189,1.577292046,0.633997998,0.932090546
20,1st_KOH_E.tif (RGB),0.000189509,0.068710517,0.028977582,0.008326775,7.326339910,0.504419957,0.028766829,0.265322180,1.878329733,5.389311760,0.009968562,3.480048737,0.287352298,0.853385930
21,1st_KOH_E.tif (RGB),0.000218417,0.073426833,0.021656596,0.012841201,136.369378049,0.509079954,0.025403187,0.254514760,2.005316927,150.708637829,0.015472732,1.686493000,0.592946428,0.772328343
22,1st_KOH_E.tif (RGB),0.000020148,0.022532654,0.009968168,0.002573523,148.865195904,0.498675930,0.010394244,0.201558398,2.002074701,152.102728969,0.003154254,3.873355518,0.258174081,0.807017544
23,1st_KOH_E.tif (RGB),0.000222797,0.060774470,0.023548672,0.012046264,54.806092752,0.758012153,0.023739454,2.373849976,2.113931506,41.308614014,0.012411757,1.954852746,0.511547482,0.944891641
24,1st_KOH_F.tif (RGB),0.000207905,0.058088522,0.018235293,0.014516486,123.398171721,0.774271607,0.020984215,2.763457495,0.841357708,124.508522988,0.015161724,1.256178244,0.796065371,0.915755627
25,1st_KOH_F.tif (RGB),0.000293753,0.086386420,0.038462250,0.009724282,47.875237809,0.494653427,0.037476981,2.280365786,1.027245346,42.662694141,0.010383643,3.955279221,0.252826651,0.907123535
