Level,Top cm,Bottom cm,Pic Label,INTERVAL,Seq,Treatment,Area,Numbers,Circ,AR
Level1,-19,-18,A_-19-18.csv,Holocene,A,H2O2,0.001883697,8,0.654566321,2.514166921
Level2,-18,-17,A_-18-17.csv,Holocene,A,H2O2,0.005190898,19,0.465672893,4.553266716
Level3,-17,-16,A_-17-16.csv,Holocene,A,H2O2,0.000825194,7,0.519475028,4.140940973
Level4,-16,-15,A_-16-15.csv,Holocene,A,H2O2,0.0004745,8,0.49461666,4.504768248
Level5,-15,-14,A_-15-14.csv,Holocene,A,H2O2,0.082229772,372,0.488130423,4.843866975
Level6,-14,-13,A_-14-13.csv,Holocene,A,H2O2,0.001932169,10,0.600804633,4.560652716
Level7,-13,-12,A_-13-12.csv,Holocene,A,H2O2,0.001295313,18,0.473934911,4.781779783
Level8,-12,-11,n/a,Holocene,A,H2O2,0,0,0,0
Level9,-11,-10,A_-11-10.csv,Holocene,A,H2O2,0.002026486,3,0.6362669,2.055193902
Level10,20,19,A_20-19.csv,Younger Dryas,A,H2O2,0.000623421,2,0.670384366,1.885157016
Level11,19,18,A_19-18.csv,Younger Dryas,A,H2O2,0.000821983,3,0.466133314,5.618274281
Level12,18,17,A_18-17.csv,Younger Dryas,A,H2O2,0.000680654,3,0.738501787,2.008757497
Level13,17,16,A_17-16.csv,Younger Dryas,A,H2O2,0.000354781,2,0.653924046,3.057653576
Level14,16,15,A_16-15.csv,Younger Dryas,A,H2O2,0.000168485,1,0.83122789,1.308715184
Level15,15,14,A_15-14.csv,Younger Dryas,A,H2O2,0.001182311,9,0.591648732,3.203838497
Level16,14,13,n/a,Younger Dryas,A,H2O2,0,0,0,0
Level17,13,12,A_13-12.csv,Younger Dryas,A,H2O2,0.001151943,3,0.492529858,4.540675323
Level18,12,11,A_12-11.csv,Younger Dryas,A,H2O2,0.000311856,3,0.601286671,2.282432109
Level19,45,44,n/a,GI-1,A,H2O2,0,0,0,0
Level20,44,43,n/a,GI-1,A,H2O2,0,0,0,0
