ID,Replicate,Treatment,T0,T1,T2,T3,T4
1,1,NaClO 12.5%,-1.092476566,-1.283798182,-2.124900499,-2.359509951,-2.581802638
2,2,NaClO 12.5%,0.252640938,-0.06854132,-1.280569622,-1.656519039,-1.057680692
3,3,NaClO 12.5%,0.767418399,0.1238573,-1.479306195,-1.842340555,-2.272218049
4,4,NaClO 12.5%,0.402232894,-0.425716034,-0.913231335,-1.394645789,-2.057578652
5,5,NaClO 12.5%,1.988654483,-1.003271034,-1.572576091,-1.881083675,-2.056861195
6,6,NaClO 12.5%,-0.397018959,-0.444969042,-1.513625402,-2.117128042,-2.625567551
7,7,NaClO 12.5%,-0.132872941,-0.233078671,-1.356740523,-1.606056626,-2.226660311
8,8,NaClO 12.5%,-0.075357167,-0.833473557,-2.369673933,-2.246868699,-2.401959525
9,9,NaClO 12.5%,-1.689880408,-1.023001528,-1.941828418,-2.388447407,-2.424081134
10,10,NaClO 12.5%,-0.023340673,-0.662238706,-2.04418652,-1.938958178,-2.112942873
11,1,NaClO 2.5%,-0.614438905,0.885306041,-0.043201814,0.049847755,-0.663761749
12,2,NaClO 2.5%,-0.336690227,0.890786357,-0.752146421,-0.647321201,-1.30589394
13,3,NaClO 2.5%,0.300194453,1.476250147,1.424944262,0.737220506,0.021279751
14,4,NaClO 2.5%,-0.606976347,0.230698583,0.17717845,-0.114794931,-0.4724159
15,5,NaClO 2.5%,-0.739903161,1.467271358,1.031642937,0.434053688,-0.593684065
16,6,NaClO 2.5%,-0.526403243,1.396494059,1.01811745,0.651401488,-0.666676412
17,7,NaClO 2.5%,-0.666676811,0.411198806,-0.130654464,-0.557069692,-1.418414923
18,8,NaClO 2.5%,-0.340304505,0.804850337,-0.043435418,-0.838782854,-0.774301688
19,9,NaClO 2.5%,2.2298531,0.880292134,0.096721548,-0.980688457,-1.483130092
20,10,NaClO 2.5%,1.301345646,0.786194741,0.166449824,0.09497291,-0.55800371
21,1,H2O 6h,-1.361574994,0.080963447,-1.094970295,-1.348132505,-0.449074917
22,2,H2O 6h,0.865675046,1.475470313,1.48000132,2.479052482,0.206941383
23,3,H2O 6h,1.056905385,0.847547396,1.083792431,0.302856585,0.788637059
24,4,H2O 6h,-0.725650004,0.536533239,-0.869299335,2.351717675,0.655260219
25,5,H2O 6h,0.572031216,0.357991686,-1.798718655,-0.560551458,-0.919750826
26,6,H2O 6h,-0.253767241,0.687435078,0.515387676,1.077296729,0.900265167
